"","gsis_id","display_name","common_first_name","first_name","last_name","short_name","football_name","suffix","esb_id","nfl_id","pfr_id","pff_id","otc_id","espn_id","smart_id","birth_date","position_group","position","ngs_position_group","ngs_position","height","weight","headshot","college_name","college_conference","jersey_number","rookie_season","last_season","latest_team","status","ngs_status","ngs_status_short_description","years_of_experience","pff_position","pff_status","draft_year","draft_round","draft_pick","draft_team"
"14","00-0038580","Yasir Abdullah","Yasir","Yasir","Abdullah","Y.Abdullah","Yasir",NA,"ABD685761","56001","AbduYa00","77100","10960","4360807","32004142-4468-5761-697c-5797029c343f","2000-04-12","LB","LB","DL","EDGE",73,240,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcqrvdytgfa12io99n2w","Louisville","Atlantic Coast Conference","56",2023,2026,"JAX","ACT","ACT","Active",4,"LB","A",2023,5,136,"JAX"
"15","ABE498348","Walter Abercrombie","Walter","Walter","Abercrombie",NA,NA,NA,"ABE498348",NA,"AberWa00",NA,NA,NA,"32004142-4549-8348-c243-a8da70dd7751","1959-09-26","RB","RB",NA,NA,72,207,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pydzhyktsi8fx5mxiybr","Baylor",NA,"0",1982,1988,"PHI","ACT",NA,NA,7,NA,NA,1982,1,12,"PIT"
"16","00-0035098","Micah Abernathy","Micah","Micah","Abernathy","M.Abernathy","Micah",NA,"ABE643008","48206","AberMi00","51344","8187","3915373","32004142-4564-3008-2068-183a4c673624","1997-02-10","DB","DB","DB","HIGH_SAFETY",72,196,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vp6ezokvuuzydfr3v8ae","Tennessee","Southeastern Conference","29",2022,2024,"ATL","RES","RES","R/Injured",2,"S","A",NA,NA,NA,NA
"17","00-0023322","Rob Abiamiri","Rob","Robert","Abiamiri",NA,NA,NA,"ABI059326",NA,NA,NA,NA,NA,"32004142-4905-9326-1b9f-3256c2cb8a64","1982-12-21","TE","TE",NA,NA,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icthexwchfliydis3l6u","Maryland",NA,"43",2006,2006,"BAL","DEV",NA,NA,1,NA,NA,NA,NA,NA,NA
"18","00-0025444","Victor Abiamiri","Victor","Victor","Abiamiri",NA,NA,NA,"ABI069076","32250","AbiaVi99","3673",NA,"10501","32004142-4906-9076-6fc8-4fbecd017975","1986-01-14","DL","DE",NA,NA,76,267,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ngsgxzz45uknhixpfbq7","Notre Dame",NA,"95",2007,2011,"PHI","RES",NA,NA,5,NA,NA,2007,2,57,"PHI"
"19","00-0022830","Derek Abney","Derek","Derek","Abney",NA,NA,NA,"ABN177981","29197",NA,NA,NA,NA,"32004142-4e17-7981-d1fd-9d3f3217b29a","1980-12-19","WR","WR",NA,NA,69,180,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rmxcmhiehkgevchfvxy1","Kentucky",NA,"12",2004,2004,"BAL","RES",NA,NA,0,NA,NA,NA,NA,NA,NA
"20","ABN189231","Keith Abney II","Keith","Keith","Abney",NA,NA,NA,"ABN189231",NA,"AbneKe00",NA,NA,"5093004","32004142-4e18-9231-5b2b-49b7e6c5bb49","2005-01-11","DB","CB",NA,NA,72,190,NA,"Arizona State",NA,NA,2026,2026,"DET","UDF",NA,NA,0,NA,NA,NA,NA,NA,NA
"21","00-0030083","Oday Aboushi","Oday","Oday","Aboushi","O.Aboushi","Oday",NA,"ABO652601","40089","AbouOd00","7923","936","15972","32004142-4f65-2601-6e79-9f8aa00e5115","1991-06-05","OL","G",NA,NA,77,315,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qayiwzp2hlziik6pueim","Virginia","Atlantic Coast Conference","76",2013,2022,"LA","ACT","U01","R/UFA",10,"G","A",2013,5,141,"NYJ"
"22","00-0000016","Clifton Abraham","Clifton","Clifton","Abraham",NA,NA,NA,"ABR072558",NA,"AbraCl20",NA,NA,"7903","32004142-5207-2558-aa9e-69dbb38f46d7","1971-12-09","DB","DB",NA,NA,69,185,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/doc4f7yv4qjklkurq1hh","Florida State",NA,"24",1995,1997,"CAR","ACT",NA,NA,3,NA,NA,1995,5,143,"TB"
"23","00-0019546","John Abraham","John","John","Abraham",NA,NA,NA,"ABR073003","25322","AbraJo00","591","2507","2144","32004142-5207-3003-86cc-4d8433464ae2","1978-05-06","LB","OLB",NA,NA,76,263,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xy04q7bt6hiatezp83t6","South Carolina",NA,"55",2000,2014,"ARI","RES",NA,NA,15,"ED",NA,2000,1,13,"NYJ"
"24","00-0039403","Micah Abraham","Micah","Micah","Abraham","M.Abraham","Micah",NA,"ABR073130","57321","AbraMi00","97232","11809","4427563","32004142-5207-3130-2d8a-f489f3d3a7b3","2000-12-11","DB","DB","DB","CB",71,185,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s75ks5bbqajwu6vye8ps","Marshall","Sun Belt Conference",NA,2024,2024,"CIN","DEV","CUT","Waivers/No Rec.",0,NA,NA,2024,6,201,"IND"
"25","00-0000017","Donnie Abraham","Donnie","Nathaniel","Abraham",NA,NA,NA,"ABR073258",NA,"AbraDo00",NA,NA,"1027","32004142-5207-3258-ebd3-814f82d39c58","1973-10-08","DB","CB",NA,NA,70,192,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfyq9ztqmw3snrsqogv5","East Tennessee State",NA,"29",1996,2004,"NYJ","ACT",NA,NA,9,NA,NA,1996,3,71,"TB"
"26","ABR083058","Robert Abraham","Robert","Robert","Abraham",NA,NA,NA,"ABR083058",NA,"AbraRo20",NA,NA,NA,"32004142-5208-3058-4826-b8a30adcb5a2","1960-07-13","LB","LB",NA,NA,73,228,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f4vaohzliud8xj2ymxch","N.C. State",NA,"0",1982,1987,"HOU","ACT",NA,NA,6,NA,NA,1982,3,77,"HOU"
"27","00-0035693","Johnathan Abram","Johnathan","Johnathan","Abram","J.Abram","Johnathan",NA,"ABR159741","47810","AbraJo01","34646","7818","3728305","32004142-5215-9741-f276-aebd8758d3ad","1996-10-25","DB","DB","DB","SAFETY",71,205,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d2zdaol75a3i4s2sdb4r","Mississippi State","Southeastern Conference","24",2019,2024,"NO","CUT","CUT","PS; Vet",6,"S","P",2019,1,27,"LV"
"28","ABR166116","Danny Abramowicz","Danny","Daniel","Abramowicz",NA,NA,NA,"ABR166116",NA,"AbraDa00",NA,NA,NA,"32004142-5216-6116-84d4-5850bc55b52d","1945-07-13","WR","WR",NA,NA,73,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/njn7ibtbvpkrkvwwclhe","Xavier University, Ohio",NA,"0",1974,1975,"BUF","ACT",NA,NA,9,NA,NA,NA,NA,NA,NA
"29","ABR249174","Sid Abramowitz","Sid","Sidney","Abramowitz",NA,NA,NA,"ABR249174",NA,"AbraSi20",NA,NA,NA,"32004142-5224-9174-e11a-1c4b17f24109","1960-05-21","OL","OT",NA,NA,78,280,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nmlfrhy6vggpm6msftwy","Tulsa; Air Force",NA,"0",1983,1987,"IND","ACT",NA,NA,3,NA,NA,1983,5,113,"BAL"
"30","00-0035774","Delrick Abrams","Delrick","Delrick","Abrams","D.Abrams","Delrick",NA,"ABR348434","52676","AbraDe00","83192","8997","4360643","32004142-5234-8434-3c41-b2aaeb1657b9","1997-04-04","DB","DB","DB","CB",75,180,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1cvw8cwhbo5g3ff1gpo","Colorado","Pacific Twelve Conference","42",2020,2020,"ATL","DEV","DEV","Practice Squad",0,"CB","A",NA,NA,NA,NA
"31","ABR390978","Josh Abrams","Josh","Josh","Abrams",NA,NA,NA,"ABR390978",NA,NA,NA,NA,NA,"32004142-5239-0978-c6ea-d3a4037ad056","1986-01-18","RB","RB",NA,NA,72,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdn0o0yq4tjtxw4thc9a","Ohio",NA,"0",2008,2008,"GB","DEV",NA,NA,0,NA,NA,NA,NA,NA,NA
"32","00-0000025","Kevin Abrams","Kevin","Kevin","Abrams",NA,NA,NA,"ABR397056","22383","AbraKe20",NA,NA,"1201","32004142-5239-7056-a5a6-5c6acab130b7","1974-02-28","DB","CB",NA,NA,68,170,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nybaeprxjxlemhqfygxd","Syracuse",NA,"24",1997,2000,"DET","RES",NA,NA,3,NA,NA,1997,2,54,"DET"
"33","ABR426540","Bobby Abrams","Bobby","Robert","Abrams",NA,NA,NA,"ABR426540",NA,"AbraBo20",NA,NA,"7177","32004142-5242-6540-19c4-f9fbc46530d5","1967-04-12","LB","LB",NA,NA,75,242,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u6b3sgtggosrhxfnontb","Michigan",NA,"0",1990,1996,"NE","CUT",NA,NA,7,NA,NA,NA,NA,NA,NA
"34","00-0039371","Kris Abrams-Draine","Kris","Kris","Abrams-Draine","K.Abrams-Draine","Kris",NA,"ABR462444","57266","AbraKr00","124194","11753","4429193","32004142-5246-2444-8520-7fc5f4ad93f6","2001-10-04","DB","CB","DB","CB",71,178,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q96h765zxponbrs6cnon","Missouri","Southeastern Conference","31",2024,2026,"DEN","ACT","ACT","Active",3,"CB","A",2024,5,145,"DEN"
"35","00-0039040","De'Von Achane","De'Von","De'Von","Achane","D.Achane","Devon",NA,"ACH103822","55949","AchaDe00","124305","10908","4429160","32004143-4810-3822-6a71-b10965e0a57a","2001-10-13","RB","RB","RB","RB",69,191,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","Texas A&M","Southeastern Conference","28",2023,2026,"MIA","ACT","ACT","Active",4,"HB","A",2023,3,84,"MIA"
"36","ACH207645","Steve Ache","Steve","Stephen","Ache",NA,NA,NA,"ACH207645",NA,"AcheSt20",NA,NA,NA,"32004143-4820-7645-e1c1-29f754e1c55c","1962-03-16","LB","LB",NA,NA,75,229,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pyastgsvophdeco3qxac","Missouri State; Triton CC IL; Coffeyville CC",NA,"0",1987,1987,"MIN","ACT",NA,NA,0,NA,NA,NA,NA,NA,NA
"37","ACH415290","George Achica","George","George","Achica",NA,NA,NA,"ACH415290",NA,"AchiGe20",NA,NA,NA,"32004143-4841-5290-5d77-5cf3403a8220","1960-12-19","DL","DT",NA,NA,77,260,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fyxmhnsdwlhpqbzt47qh","USC",NA,"0",1985,1985,"IND","ACT",NA,NA,1,NA,NA,1983,3,57,"BAL"
"38","00-0029428","Emmanuel Acho","Emmanuel","Emmanuel","Acho",NA,"Emmanuel",NA,"ACH665901","38733","AchoEm00","7189","274","15045","32004143-4866-5901-6bb7-042995de7d6e","1990-11-10","LB","LB",NA,NA,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mtwv8tun8igvcsd6ljzb","Texas","Big Twelve Conference","51",2012,2015,"PHI","CUT","CUT","Inactive",4,"LB",NA,2012,6,204,"CLE"
"39","00-0028041","Sam Acho","Sam","Samuel","Acho","S.Acho","Sam",NA,"ACH678651","37178","AchoSa00","6255","423","14152","32004143-4867-8651-d2c8-1e5961b5295e","1988-09-06","LB","LB",NA,NA,75,259,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqoygt7fpqcakogjwk92","Texas",NA,"96",2011,2019,"TB","ACT","UFA",NA,9,"ED",NA,2011,4,103,"ARI"
"40","00-0022520","D.D. Acholonu","D.D.","Dilibe","Acholonu",NA,NA,NA,"ACH692151",NA,NA,NA,NA,"3998259","32004143-4869-2151-5bdb-e00914b1da24","1980-10-17","LB","LB",NA,NA,74,339,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yiamse13eq36lxwpjjuv","Washington State",NA,"59",2004,2004,"HOU","ACT",NA,NA,0,NA,NA,NA,NA,NA,NA
"41","00-0031186","Kenneth Acker","Kenneth","Kenneth","Acker","K.Acker","Kenneth",NA,"ACK184395","41409","AckeKe00","8815","3119","16914","32004143-4b18-4395-8abd-e4dfacc45ca6","1992-02-06","DB","CB",NA,NA,72,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xco7k2vow8effgzzuebb","SMU",NA,"25",2014,2017,"KC","ACT","CUT",NA,4,"CB",NA,2014,6,180,"SF"
"42","ACK207645","Bill Acker","Bill","William","Acker",NA,NA,NA,"ACK207645",NA,"AckeBi20",NA,NA,NA,"32004143-4b20-7645-7a47-0dfe14eccea9","1956-11-07","DL","NT",NA,NA,75,255,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zr12jdbdoerycf8ojopn","Texas",NA,"0",1980,1987,"KC","ACT",NA,NA,6,NA,NA,1980,6,142,"LA"
"43","ACK415290","Rick Ackerman","Rick","Richard","Ackerman",NA,NA,NA,"ACK415290",NA,"AckeRi20",NA,NA,NA,"32004143-4b41-5290-4498-3fcee4d45ad0","1959-06-16","DL","DT",NA,NA,76,258,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dikh49cadskd6n3jgztf","Memphis",NA,"0",1982,1987,"LV","ACT",NA,NA,4,NA,NA,NA,NA,NA,NA
"44","00-0000032","Tom Ackerman","Tom","Thomas","Ackerman",NA,NA,NA,"ACK425040",NA,"AckeTo20",NA,NA,"1028","32004143-4b42-5040-5e4c-ffc2696ade34","1972-09-06","OL","C",NA,NA,76,295,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s7tpjn4fly0ulwp8mx5l","Eastern Washington",NA,"67",1996,2003,"TEN","ACT",NA,NA,8,NA,NA,1996,5,145,"NO"
"45","ACK622935","Ron Acks","Ron","Ronald","Acks",NA,NA,NA,"ACK622935",NA,"AcksRo20",NA,NA,NA,"32004143-4b62-2935-efc4-ad22d25a18aa","1944-10-03","LB","MLB",NA,NA,74,214,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y7qopudedhg5rm3nq3kn","Illinois",NA,"0",1974,1976,"GB","ACT",NA,NA,8,NA,NA,NA,NA,NA,NA
"46","ACO415291","Fred Acorn","Fred","Frederick","Acorn",NA,NA,NA,"ACO415291",NA,"AcorFr20",NA,NA,NA,"32004143-4f41-5291-f307-760f4c777075","1961-03-17","DB","CB",NA,NA,70,185,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqy1fqbye0486bkxas2k","Texas",NA,"0",1984,1984,"TB","ACT",NA,NA,0,NA,NA,1984,3,57,"TB"
"47","00-0035801","DeMarkus Acy","DeMarkus","DeMarkus","Acy","D.Acy","DeMarkus",NA,"ACY415291","52703","AcyxDe00","27442","9169","4035103","32004143-5941-5291-52f1-5257c81c2abf","1998-04-29","DB","CB",NA,NA,74,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jayf1rp2c723inmy6z5c","Missouri","Southeastern Conference","0",2020,2021,"PIT","RES","RES","R/Injured",1,NA,NA,NA,NA,NA,NA
"48","ADA083058","Mike Adamle","Mike","Michael","Adamle",NA,NA,NA,"ADA083058",NA,"AdamMi01",NA,NA,NA,"32004144-4108-3058-4e61-3186aba6beb0","1949-10-04","RB","RB",NA,NA,69,197,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apmookl9zrmoz4xsvi1u","Northwestern",NA,"0",1974,1976,"CHI","ACT",NA,NA,6,NA,NA,NA,NA,NA,NA
"49","00-0029831","Aaron Adams","Aaron","Aaron","Adams",NA,NA,NA,"ADA099119",NA,"AdamAa00","8147","2757","16296","32004144-4109-9119-4a5f-ac978efbb8fd","1989-05-16","OL","OT",NA,NA,77,303,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mnu8qzhos3gcpwjmjl1v","Eastern Kentucky",NA,"77",2013,2014,"GB","RES",NA,NA,1,NA,NA,NA,NA,NA,NA
"50","00-0029271","Joe Adams","Joe","Adam","Adams",NA,NA,NA,"ADA404040","38634","AdamJo01","7104","1173","14917","32004144-4140-4040-3434-af46e7ac2a54","1989-11-22","WR","WR",NA,NA,71,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lpc12417syntfirc36xd","Arkansas",NA,"15",2012,2012,"CAR","ACT",NA,NA,0,"WR",NA,2012,4,104,"CAR"
"51","ADA102090","Theo Adams","Theo","Adam","Adams",NA,NA,NA,"ADA102090",NA,"AdamTh20",NA,NA,NA,"32004144-4110-2090-6abf-8ef3666dd2e8","1966-04-24","OL","G",NA,NA,76,300,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yps9zpuwrc16ypkkdwkd","Hawaii",NA,"0",1992,1995,"PHI","CUT",NA,NA,3,NA,NA,NA,NA,NA,NA
"52","00-0032637","Andrew Adams","Andrew","Andrew","Adams","A.Adams","Andrew",NA,"ADA104253","43757","AdamAn00","11240","5286","2576599","32004144-4110-4253-90b0-6732ffb3edf8","1993-08-28","DB","DB","DB","SAFETY",71,205,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcek7tec4fmt3agbba2s","Connecticut","American Athletic Conference","37",2016,2023,"BAL","DEV","DEV","PS; Vet",8,"S","P",NA,NA,NA,NA
"53","00-0033521","Keion Adams","Keion","Anfernee","Adams","K.Adams","Keion",NA,"ADA472969","45061","AdamKe02","12003","5834","3042773","32004144-4147-2969-d09b-361cb348f9db","1995-06-08","LB","LB",NA,NA,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h9uozd4syjs9cphicmfg","Western Michigan",NA,"39",2017,2019,"NYG","CUT","CUT",NA,2,NA,NA,2017,7,248,"PIT"
"54","00-0022085","Anthony Adams","Anthony","Anthony","Adams",NA,NA,NA,"ADA106417","28093","AdamAn20","1372","6733","4515","32004144-4110-6417-6e89-57081c38b0b6","1980-06-18","DL","DT",NA,NA,72,310,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pja0wweiwsjeiqvs7htg","Penn State",NA,"95",2003,2011,"CHI","ACT",NA,NA,9,"DI",NA,2003,2,57,"SF"
"55","ADA110744","Tony Adams","Tony","Anthony","Adams",NA,NA,NA,"ADA110744",NA,"AdamTo00",NA,NA,NA,"32004144-4111-0744-f8cf-a92673487740","1950-03-09","QB","QB",NA,NA,72,198,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hg2szmeexh3xuhyotfwf","Utah State; Texas",NA,"0",1975,1987,"MIN","ACT",NA,NA,5,NA,NA,NA,NA,NA,NA
"56","00-0021006","Charlie Adams","Charlie","Charles","Adams",NA,NA,NA,"ADA144366",NA,"AdamCh00",NA,NA,"4447","32004144-4114-4366-a0aa-98592d49b4d2","1979-10-23","WR","WR",NA,NA,74,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u36athj3mdl3ka6lk2ve","Hofstra",NA,"19",2003,2006,"HOU","ACT",NA,NA,4,NA,NA,NA,NA,NA,NA
"57","ADA166116","Curtis Adams","Curtis","Curtis","Adams",NA,NA,NA,"ADA166116",NA,"AdamCu00",NA,NA,NA,"32004144-4116-6116-84da-728b4e9797f6","1962-04-30","RB","RB",NA,NA,71,198,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m4vkaojzdmqtiwzddb9q","Central Michigan",NA,"0",1985,1988,"LAC","ACT",NA,NA,3,NA,NA,1985,8,207,"LAC"
"58","00-0031115","D.J. Adams","D.J.","D.J.","Adams",NA,NA,NA,"ADA242233",NA,"AdamD.00",NA,NA,"16961","32004144-4124-2233-bb89-ffa1f872bfc1","1990-09-27","RB","RB",NA,NA,70,210,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvmxco2rec1o5c4r2flm","Portland State; Maryland",NA,"0",2014,2014,"LAC","RSN",NA,NA,0,NA,NA,NA,NA,NA,NA
"59","00-0022031","Blue Adams","Blue","Danny","Adams",NA,NA,NA,"ADA193052","28256","AdamBl20","1518",NA,"4678","32004144-4119-3052-1a64-d825996442ed","1979-10-15","DB","DB",NA,NA,70,184,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kj2vpmkjciulekc2cnw8","Cincinnati",NA,"46",2003,2007,"CIN","ACT",NA,NA,4,NA,NA,2003,7,220,"DET"
"60","00-0024121","Darrell Adams","Darrell","Darrell","Adams",NA,NA,NA,"ADA207646",NA,NA,NA,NA,NA,"32004144-4120-7646-519a-2a7829cd9572","1983-09-16","DL","DE",NA,NA,72,282,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iaeby0avvohk3bvk75gy","Villanova",NA,"98",2006,2006,"NYJ","DEV",NA,NA,0,NA,NA,NA,NA,NA,NA
"61","00-0028746","Darvin Adams","Darvin","Darvin","Adams",NA,NA,NA,"ADA214943",NA,"AdamDa00","6856","6773","14759","32004144-4121-4943-572a-6a3963967e77","1990-01-05","WR","WR",NA,NA,74,194,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gp7dezgpf6nmzbkeizjv","Auburn",NA,"86",2011,2011,"CAR","ACT",NA,NA,0,"WR","A",NA,NA,NA,NA
"62","00-0031381","Davante Adams","Davante","Davante","Adams","D.Adams","Davante",NA,"ADA218591","41282","AdamDa01","8688","2992","16800","32004144-4121-8591-4d26-4c0ac739af41","1992-12-24","WR","WR","WR","WR",73,215,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc","Fresno State","Mountain West Conference","17",2014,2026,"LA","ACT","ACT","Active",13,"WR","A",2014,2,53,"GB"
